,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
30174,1196363790642919764,Palermo,-34.58416,-58.44381,Entire home/apt,42754.0,2,0
30175,1196373070428965213,San Nicolas,-34.60162817283891,-58.3725453189509,Entire home/apt,37808.0,1,1
30176,1196394158900032456,San Cristobal,-34.622643,-58.41118640000001,Entire home/apt,45159.0,4,15
30177,1196397825171945912,Belgrano,-34.550299802145254,-58.45142825661453,Entire home/apt,52626.0,1,10
30178,1196402657403977079,Belgrano,-34.548080959382844,-58.45054430227675,Entire home/apt,49507.0,1,6
30179,1196403612232651108,Belgrano,-34.54815,-58.45206,Entire home/apt,48005.0,1,12
30180,1196404416881089056,Belgrano,-34.54852166698885,-58.45023571737649,Entire home/apt,64368.0,1,3
30181,1196405531601936218,Belgrano,-34.54818,-58.45184,Entire home/apt,64368.0,1,14
30182,1196413470325522773,Villa Urquiza,-34.5704734,-58.48723640000001,Entire home/apt,23252.0,4,7
30183,1196419643449090495,Villa Devoto,-34.6076,-58.51764,Entire home/apt,36758.0,3,10
30184,1196426691541526818,Palermo,-34.5900662,-58.4180046,Entire home/apt,23105.0,2,33
30185,1196427299208492262,Palermo,-34.56801830968339,-58.43576756319982,Entire home/apt,82442.0,3,5
30186,1196429186487570427,Villa Crespo,-34.59783,-58.42892,Entire home/apt,39005.0,2,7
30187,1196440943123718978,Retiro,-34.59596983255256,-58.37805566652978,Entire home/apt,41704.0,4,4
30188,1196442137446599920,Villa Urquiza,-34.5660421,-58.4851632,Entire home/apt,30456.0,2,1
30189,1196443531873598039,Recoleta,-34.59417781076762,-58.4051802643905,Entire home/apt,51156.0,3,13
30190,1196448330692328293,Villa Urquiza,-34.565197044321486,-58.48403763140404,Entire home/apt,30456.0,2,2
30191,1196451902714548293,Villa Urquiza,-34.5660421,-58.4851632,Entire home/apt,30246.0,3,1
30192,1196456322617525585,Villa Urquiza,-34.56668,-58.48419,Entire home/apt,29406.0,2,1
30193,1196470701656195354,San Telmo,-34.62481,-58.37263,Entire home/apt,46588.0,3,12
30194,1196471578104211850,Palermo,-34.57668306247847,-58.42399058230756,Entire home/apt,52511.0,1,0
30195,1196471744251681319,San Telmo,-34.62151,-58.37573,Entire home/apt,120775.0,1,2
30196,1196480783386380703,Villa Urquiza,-34.57262,-58.4784,Private room,21603.0,1,2
30197,1196491392117884635,Palermo,-34.5794106,-58.43405749999999,Entire home/apt,35287.0,1,0
30198,1196501180145666839,Constitucion,-34.62109,-58.38856,Entire home/apt,31958.0,1,8
30199,1196508451682249007,Palermo,-34.58112560366041,-58.43560929083509,Entire home/apt,33008.0,2,1
30200,1196515208982430734,Villa Crespo,-34.59565639351209,-58.42933627592734,Entire home/apt,31507.0,2,2
30201,1196521163508429968,Palermo,-34.59217866591973,-58.42818310278432,Entire home/apt,39908.0,3,4
30202,1196527348116479185,Palermo,-34.59346622415551,-58.42884799999998,Entire home/apt,36758.0,4,6
30203,1196532844903803212,Recoleta,-34.5908681,-58.3973416,Entire home/apt,146285.0,1,0
30204,1196536999992274321,Recoleta,-34.5876592,-58.4063665,Entire home/apt,157533.0,1,18
30206,1196550402623931411,San Telmo,-34.62115251705734,-58.3705338957132,Entire home/apt,27757.0,2,6
30207,1196554172260595680,Palermo,-34.5836498,-58.4375446,Entire home/apt,34195.0,1,35
30208,1196584470554081815,Recoleta,-34.5984723,-58.39038189999999,Entire home/apt,24848.0,1,9
30209,1196591866628261611,Recoleta,-34.59544407606985,-58.40565249323845,Entire home/apt,47260.0,2,4
30210,1196608995731661674,Palermo,-34.57771746622231,-58.42176847647438,Entire home/apt,23409.0,2,40
30211,1196627817715505612,Recoleta,-34.5894585,-58.4102402,Entire home/apt,123926.0,2,5
30212,1196640416596849499,Recoleta,-34.598965,-58.3972002,Entire home/apt,55514.0,2,1
30213,1196681469274997022,Recoleta,-34.59588814349588,-58.39874178171158,Entire home/apt,63759.0,1,4
30214,1196686261656336556,Monserrat,-34.61061785750063,-58.37338834125793,Entire home/apt,42156.0,1,3
30215,1197011019452448751,Palermo,-34.57411,-58.42229,Entire home/apt,52511.0,2,7
30216,1197031189085499399,San Nicolas,-34.6050792,-58.3847365,Entire home/apt,27600.0,2,6
30217,1197068803029301187,Recoleta,-34.59331,-58.41168,Private room,15302.0,4,4
30218,1197136657831703793,Nuñez,-34.5511495,-58.4561077,Entire home/apt,32704.0,3,9
30219,1197181121450264992,Palermo,-34.573352273051405,-58.44126209999999,Entire home/apt,47260.0,2,12
30220,1197237743855358514,Palermo,-34.58418,-58.44345,Entire home/apt,36758.0,3,0
30221,1197241696745779162,Caballito,-34.61855619367434,-58.44164591142538,Entire home/apt,24155.0,1,46
30222,1197251353190299634,Belgrano,-34.56304,-58.45822,Entire home/apt,30456.0,5,2
30223,1197255695907704872,Monserrat,-34.61482,-58.3741,Entire home/apt,23063.0,1,20
30224,1197260524449796079,Palermo,-34.57761,-58.43641,Entire home/apt,37808.0,7,0
30225,1197263837795578863,Almagro,-34.6200911781807,-58.41812734746527,Entire home/apt,48457.0,2,16
30226,1197276113568025842,Palermo,-34.5814145,-58.44219450000001,Entire home/apt,88292.0,3,18
30227,1197281343140230911,San Nicolas,-34.601351467795574,-58.380482576486656,Private room,16803.0,2,3
30228,1197286494129219605,Palermo,-34.56789688614318,-58.43320191155144,Entire home/apt,30456.0,2,20
30229,1197295484445736121,Palermo,-34.57777,-58.4283,Entire home/apt,61060.0,3,11
30230,1197298408328061601,Recoleta,-34.59653,-58.4074,Entire home/apt,31507.0,3,2
30231,1197302601138130920,Belgrano,-34.5561356,-58.447129,Entire home/apt,24155.0,1,9
30232,1197305251251226482,Palermo,-34.59138,-58.42534,Entire home/apt,135940.0,1,37
30233,1197307294757990067,Recoleta,-34.596392293527764,-58.40429581472539,Entire home/apt,28356.0,3,1
30234,1197312297853501200,Caballito,-34.61234,-58.44128,Entire home/apt,36758.0,5,3
30235,1197324037995563548,Recoleta,-34.59333,-58.41123,Entire home/apt,36758.0,3,0
30236,1197364551298053630,Flores,-34.61769335596568,-58.46311281419466,Entire home/apt,55662.0,1,0
30237,1197468781396429511,Palermo,-34.58985,-58.42336,Entire home/apt,134207.0,1,30
30238,1197672730938570296,San Telmo,-34.61745,-58.37527,Entire home/apt,50410.0,2,6
30240,1197711932891821131,Palermo,-34.58227161103122,-58.41604027206232,Entire home/apt,26140.0,1,15
30241,1197726695479613285,San Nicolas,-34.5990317,-58.3812314,Entire home/apt,23798.0,1,3
30242,1197766788991434646,Recoleta,-34.59827272740464,-58.38826505248142,Entire home/apt,21004.0,7,0
30244,1197802280240351396,Caballito,-34.6233887,-58.4489055,Entire home/apt,24302.0,2,5
30245,1197830627360694089,Monserrat,-34.60985987480359,-58.38210749125891,Entire home/apt,31507.0,3,18
30246,1197834563805625304,Monserrat,-34.61502412923925,-58.37602340125927,Entire home/apt,61816.0,3,6
30247,1197837189317701382,Palermo,-34.56829,-58.43444,Entire home/apt,32557.0,1,5
30248,1197856280597981744,Villa Crespo,-34.59968,-58.43893,Entire home/apt,42009.0,2,8
30249,1197862184408376052,San Cristobal,-34.6211375445096,-58.40465329629518,Entire home/apt,31507.0,2,6
30250,1197874767624088599,Villa Urquiza,-34.5693509,-58.47750039999999,Entire home/apt,42313.0,1,3
30251,1197876361423043196,Belgrano,-34.553702,-58.44712630000001,Entire home/apt,44708.0,7,5
30252,1197915165438904283,San Telmo,-34.6247707,-58.3674208,Entire home/apt,30425.0,1,12
30253,1197927478051324420,Belgrano,-34.56029273942446,-58.45618749629515,Entire home/apt,42009.0,1,20
30254,1197929457516173265,Palermo,-34.5794106,-58.43405749999999,Entire home/apt,33891.0,1,0
30255,1197936194140641842,Boedo,-34.63661858804283,-58.42302536145449,Entire home/apt,46210.0,3,0
30256,1197936296648072146,Belgrano,-34.55638,-58.46408,Entire home/apt,28356.0,2,5
30257,1197950187809424035,Palermo,-34.5794106,-58.43405749999999,Entire home/apt,33082.0,1,0
30258,1197967574937270988,Palermo,-34.57884,-58.43295,Entire home/apt,39982.0,1,0
